id,open,close,high,low,volume,Day,Month,Year
0,3952.1,3927.2,3973.2,3882.5,50207.34,06,09,2021
1,3885.3,3952.1,3982.0,3833.8,39134.52,05,09,2021
2,3938.1,3884.4,3969.8,3835.0,23300.34,04,09,2021
3,3787.6,3938.3,4027.9,3710.0,57443.89,03,09,2021
4,3826.5,3787.6,3837.0,3723.89,34933.13,02,09,2021
5,3431.1,3827.2,3840.9,3383.9,64484.45,01,09,2021
6,3229.7,3431.1,3474.0,3191.5,57253.97,31,08,2021
7,3225.9,3230.88,3349.0,3142.6,29276.99,30,08,2021
8,3246.0,3225.8,3289.4,3153.0,20425.02,29,08,2021
9,3275.9,3245.8,3286.7,3211.6,8712.72,28,08,2021
10,3092.7,3276.1,3282.2,3061.0,26150.1,27,08,2021
11,3227.8,3092.68,3252.5,3056.0,25319.48,26,08,2021
12,3171.3,3228.51,3248.8,3080.7,34952.0,25,08,2021
13,3323.4,3173.2,3359.1,3148.2,36027.62,24,08,2021
14,3240.7,3324.44,3380.3,3232.5,41708.35,23,08,2021
15,3225.0,3240.7,3275.0,3127.0,19611.01,22,08,2021
16,3287.9,3225.0,3310.0,3206.9,20223.13,21,08,2021
17,3185.9,3286.8,3303.1,3179.9,31862.34,20,08,2021
18,3015.4,3186.4,3188.3,2960.1,36892.43,19,08,2021
19,3012.9,3015.4,3124.0,2955.0,35131.61,18,08,2021
20,3147.4,3013.0,3291.4,2993.9,54078.16,17,08,2021
21,3311.1,3147.27,3340.1,3135.0,46982.31,16,08,2021
22,3265.3,3312.4,3322.7,3104.8,41579.28,15,08,2021
23,3325.1,3265.6,3332.73,3206.6,21315.08,14,08,2021
24,3047.9,3324.8,3329.7,3035.6,31174.05,13,08,2021
25,3160.1,3047.8,3237.9,2981.3,41101.53,12,08,2021
26,3141.7,3163.0,3272.2,3121.7,41851.95,11,08,2021
27,3164.4,3139.9,3232.7,3051.5,51144.56,10,08,2021
28,3009.77,3164.4,3187.54,2892.6,83221.56,09,08,2021
29,3157.9,3009.2,3187.0,2947.5,66503.56,08,08,2021
30,2891.9,3158.3,3172.0,2866.7,64894.2,07,08,2021
31,2829.3,2892.0,2947.6,2722.2,41137.15,06,08,2021
32,2725.3,2829.1,2844.1,2531.4,90002.02,05,08,2021
33,2510.0,2726.1,2773.6,2455.4,59044.55,04,08,2021
34,2607.8,2508.9,2632.6,2446.9,67177.18,03,08,2021
35,2556.6,2607.3,2667.3,2510.0,84616.43,02,08,2021
36,2530.0,2557.3,2697.0,2511.0,115325.26,01,08,2021
37,2462.9,2529.0,2550.9,2420.4,38391.59,31,07,2021
38,2384.0,2463.09,2471.2,2317.1,45196.47,30,07,2021
39,2300.5,2384.2,2403.9,2266.4,21642.87,29,07,2021
40,2301.6,2300.1,2346.47,2244.1,33143.94,28,07,2021
41,2229.3,2304.3,2319.3,2151.3,83188.89,27,07,2021
42,2193.0,2228.7,2431.52,2173.6,74771.37,26,07,2021
43,2187.5,2192.7,2199.1,2109.06,15274.08,25,07,2021
44,2126.4,2185.9,2200.8,2106.3,97055.34,24,07,2021
45,2026.0,2124.5,2130.7,1997.2,34957.35,23,07,2021
46,1995.8,2025.3,2048.9,1948.8,33065.86,22,07,2021
47,1788.2,1995.4,2037.0,1755.3,68776.65,21,07,2021
48,1820.8,1787.8,1842.2,1721.0,137810.11,20,07,2021
49,1893.7,1820.0,1919.8,1806.0,58416.5,19,07,2021
50,1900.77,1893.21,1993.7,1879.94,37432.26,18,07,2021
51,1878.1,1900.86,1920.6,1846.4,66806.36,17,07,2021
52,1919.77,1878.24,1967.0,1850.9,40932.02,16,07,2021
53,1967.1,1919.7,1978.9,1882.3,35862.62,15,07,2021
54,2166.66,2142.4,2186.9,2089.1,14723.18,30,06,2021
55,2083.8,2166.1,2243.4,2075.3,64296.55,29,06,2021
56,1985.7,2083.8,2147.5,1963.1,87128.78,28,06,2021
57,1832.6,1983.4,1985.7,1808.0,196687.98,27,06,2021
58,1807.9,1833.3,1851.2,1717.2,133328.99,26,06,2021
59,1990.4,1809.0,2019.9,1788.0,231083.24,25,06,2021
60,1970.3,1990.3,2032.1,1887.1,66451.14,24,06,2021
61,1883.6,1970.32,2045.4,1826.22,194020.35,23,06,2021
62,1894.0,1881.6,2005.33,1711.4,635945.29,22,06,2021
63,2246.6,1892.94,2263.9,1885.0,313577.7,21,06,2021
64,2168.1,2246.51,2282.0,2046.1,59395.62,20,06,2021
65,2234.6,2169.1,2279.5,2165.6,37061.03,19,06,2021
66,2372.1,2234.5,2377.4,2138.3,49215.23,18,06,2021
67,2367.4,2372.0,2460.5,2304.7,26621.04,17,06,2021
68,2542.0,2366.7,2555.79,2351.7,36211.62,16,06,2021
69,2581.1,2541.6,2640.3,2505.2,22267.38,15,06,2021
70,2509.1,2580.5,2604.1,2460.87,30669.68,14,06,2021
71,2372.2,2508.49,2550.4,2309.6,27340.29,13,06,2021
72,2353.9,2368.7,2456.48,2258.3,40740.37,12,06,2021
73,2470.96,2354.7,2497.75,2320.89,42908.51,11,06,2021
74,2609.0,2470.7,2623.0,2425.4,51748.36,10,06,2021
75,2508.3,2609.16,2623.2,2409.3,83288.72,09,06,2021
76,2590.5,2508.63,2620.0,2310.0,75172.98,08,06,2021
77,2711.4,2591.36,2846.87,2570.91,61109.71,07,06,2021
78,2628.2,2710.1,2744.0,2615.2,29688.03,06,06,2021
79,2691.1,2629.0,2815.9,2554.0,53948.35,05,06,2021
80,2855.9,2692.0,2858.66,2551.9,57816.37,04,06,2021
81,2704.1,2855.7,2889.8,2663.4,53284.21,03,06,2021
82,2633.9,2706.0,2801.7,2551.0,43366.61,02,06,2021
83,2706.64,2632.8,2738.9,2526.27,52134.56,01,06,2021
84,2381.1,2705.4,2719.0,2271.0,81828.45,31,05,2021
85,2272.7,2382.9,2466.9,2178.4,271168.99,30,05,2021
86,2409.3,2272.7,2574.3,2206.7,162715.51,29,05,2021
87,2740.9,2409.74,2759.1,2326.5,143239.3,28,05,2021
88,2888.97,2740.9,2890.56,2640.4,63949.66,27,05,2021
89,2708.0,2888.9,2915.4,2647.1,96502.96,26,05,2021
90,2647.7,2707.9,2751.66,2386.0,125630.91,25,05,2021
91,2097.22,2647.7,2675.0,2084.2,319829.98,24,05,2021
92,2302.87,2097.6,2388.71,1755.0,474084.49,23,05,2021
93,2439.8,2302.1,2495.0,2164.1,258416.73,22,05,2021
94,2772.06,2439.8,2940.8,2113.0,323298.17,21,05,2021
95,2446.5,2773.9,2989.9,2160.3,263296.63,20,05,2021
96,3378.6,2441.3,3442.9,2033.7,714855.3,19,05,2021
97,3283.5,3378.6,3563.8,3238.6,121126.94,18,05,2021
98,3594.3,3277.67,3598.8,3122.5,232909.15,17,05,2021
99,3652.9,3593.5,3887.9,3363.6,133616.9,16,05,2021
100,4082.3,3651.9,4136.4,3638.1,63656.63,15,05,2021
101,3723.3,4082.3,4171.7,3697.4,60724.16,14,05,2021
